Date,Open,High,Low,Close,Volume,Adj Close
2011-09-29,2475.00,2567.8999,2472.1001,2550.00,928500,462.67681
2011-09-28,2480.00,2537.24805,2455.19995,2474.85205,1772400,449.04183
2011-09-27,2376.8999,2468.00,2376.8999,2446.00,700900,443.80686
2011-09-26,2342.552,2366.00,2302.00,2355.14795,577500,427.32249
2011-09-23,2336.00,2390.50,2321.00,2340.1001,629300,424.59218
2011-09-22,2384.00,2409.948,2338.00,2353.6001,653100,427.04165
2011-09-21,2436.19995,2454.00,2418.1001,2433.3999,468300,441.52067
2011-09-20,2375.00,2450.00,2375.00,2437.69995,669000,442.30088
2011-09-19,2392.19995,2409.552,2356.052,2361.64795,313100,428.50186
2011-09-16,2440.00,2449.00,2374.052,2393.3999,779200,434.263
2011-09-15,2377.00,2422.3999,2329.14795,2405.552,973100,436.4679
2011-09-14,2247.1001,2363.8999,2247.1001,2353.052,1185000,426.9422
2011-09-13,2226.00,2258.50,2199.00,2224.3999,493800,403.59932
2011-09-12,2219.00,2219.00,2183.052,2197.75195,728900,398.76426
2011-09-09,2331.00,2331.00,2259.00,2271.19995,626200,412.09081
2011-09-08,2304.00,2353.00,2300.00,2338.64795,739400,424.3287
2011-09-07,2301.00,2313.80005,2267.8999,2291.19995,681500,415.71965
2011-09-06,2250.1001,2326.00,2223.50,2303.3999,516300,417.93323
2011-09-05,2287.8999,2287.8999,2241.00,2263.85205,467300,410.75759
2011-09-02,2370.00,2379.00,2277.00,2315.552,439800,420.13813
2011-08-30,2325.69995,2360.00,2280.14795,2342.80005,673900,425.08206
2011-08-29,2235.19995,2312.19995,2235.19995,2297.85205,518800,416.92661
2011-08-26,2189.8999,2253.85205,2183.052,2204.552,1247500,399.99808
2011-08-25,2245.00,2264.00,2169.00,2189.64795,871900,397.29386
2011-08-24,2280.00,2280.00,2231.00,2249.948,451500,408.23481
2011-08-23,2204.6001,2300.00,2195.00,2274.00,794100,412.59885
2011-08-22,2217.8999,2247.64795,2171.85205,2194.052,1011700,398.09294
2011-08-19,2272.00,2272.00,2172.64795,2225.3999,1702900,403.78076
2011-08-18,2465.00,2467.00,2351.00,2362.052,630400,428.57518
2011-08-17,2400.00,2463.00,2400.00,2449.14795,424400,444.37803
2011-08-16,2411.24805,2438.00,2375.19995,2392.64795,460400,434.12656
2011-08-12,2482.052,2485.00,2343.69995,2374.448,791100,430.82433
2011-08-11,2428.052,2465.00,2414.00,2438.948,381700,442.52733
2011-08-10,2454.00,2475.1001,2412.448,2445.6001,557100,443.7343
2011-08-09,2398.00,2439.00,2350.00,2377.1001,1332100,431.30553
2011-08-08,2500.00,2500.00,2431.3999,2468.00,1035900,447.79858
2011-08-05,2660.00,2660.00,2530.00,2590.552,865200,470.03465
2011-08-04,2737.6001,2757.8999,2704.64795,2708.30005,196200,491.39907
2011-08-03,2739.00,2752.85205,2710.19995,2752.85205,149700,499.48267
2011-08-02,2804.948,2804.948,2746.00,2752.85205,178200,499.48267
2011-08-01,2780.00,2819.948,2780.00,2809.14795,111100,509.69711
2011-07-29,2745.00,2778.50,2729.00,2766.80005,152700,502.01343
2011-07-28,2775.00,2775.00,2736.00,2747.3999,198900,498.49343
2011-07-27,2800.00,2833.64795,2787.19995,2796.052,184500,507.32095
2011-07-26,2803.052,2824.00,2787.19995,2799.6001,170700,507.96473
2011-07-25,2819.3999,2823.00,2790.35205,2806.6001,198300,509.23482
2011-07-22,2778.00,2838.00,2775.50,2825.35205,388800,512.63721
2011-07-21,2751.8999,2782.00,2735.00,2767.30005,310200,502.10415
2011-07-20,2765.00,2771.00,2745.00,2751.64795,308800,499.2642
2011-07-19,2727.80005,2772.00,2717.1001,2753.35205,396600,499.5734
2011-07-18,2744.8999,2744.8999,2709.00,2714.052,953300,492.44272
2011-07-15,3089.1001,3089.1001,2725.00,2730.552,770100,495.43651
2011-07-14,2764.948,2766.00,2732.3999,2740.948,1088800,497.32278
2011-07-13,2767.00,2808.00,2762.80005,2784.19995,647900,505.1705
2011-07-12,2850.00,2850.00,2749.35205,2794.24805,2694900,506.99364
2011-07-11,2945.00,2974.00,2890.00,2919.00,451300,529.62887
2011-07-08,3000.00,3020.00,2965.64795,2977.8999,219600,540.31578
2011-07-07,2955.00,2999.00,2945.00,2995.14795,231300,543.4453
2011-07-06,2948.00,2970.00,2936.00,2952.552,147100,535.71661
2011-07-05,2943.00,2968.30005,2926.24805,2954.50,269700,536.07006
2011-07-04,2950.00,2974.052,2933.30005,2938.8999,199900,533.23955
2011-07-01,2930.00,2965.85205,2920.00,2934.30005,373800,532.40494
2011-06-30,2875.00,2915.948,2875.00,2907.3999,173800,527.52413
2011-06-29,2866.19995,2905.00,2866.19995,2881.75195,128800,522.87052
2011-06-28,2871.00,2876.75195,2845.00,2863.85205,218600,519.62272
2011-06-27,2833.00,2914.00,2825.00,2867.85205,398100,520.34849
2011-06-24,2794.00,2877.00,2794.00,2862.1001,414500,519.30485
2011-06-23,2750.00,2787.00,2736.19995,2774.14795,425800,503.34664
2011-06-22,2754.1001,2780.50,2740.35205,2748.00,336700,498.60231
2011-06-21,2717.00,2753.8999,2694.00,2726.448,327100,494.69187
2011-06-20,2777.00,2780.80005,2660.552,2708.8999,446800,491.50791
2011-06-17,2808.80005,2808.80005,2732.24805,2764.3999,500500,501.57794
2011-06-16,2824.00,2825.00,2795.24805,2800.552,222500,508.13744
2011-06-15,2860.00,2862.00,2826.14795,2833.8999,448100,514.18815
2011-06-14,2873.00,2883.00,2868.00,2873.448,302000,521.36383
2011-06-13,2850.00,2884.8999,2822.3999,2877.552,238200,522.10847
2011-06-10,2864.052,2879.75195,2852.19995,2861.6001,290900,519.21413
2011-06-09,2875.35205,2879.00,2853.1001,2861.50,179100,519.19596
2011-06-08,2889.00,2890.00,2867.35205,2872.19995,370000,521.13738
2011-06-07,2828.00,2905.00,2828.00,2892.75195,404000,524.86638
2011-06-06,2817.00,2845.00,2795.00,2838.448,175100,515.01336
2011-06-03,2818.00,2840.00,2805.052,2813.50,423800,510.48675
2011-06-02,2784.8999,2820.00,2776.6001,2802.75195,283900,508.53661
2011-06-01,2794.00,2824.00,2785.00,2812.00,559000,510.21459
2011-05-31,2783.00,2818.75195,2780.00,2791.85205,322900,506.55891
2011-05-30,2800.00,2808.00,2763.14795,2780.19995,196100,504.44473
2011-05-27,2765.00,2805.448,2765.00,2787.948,165800,505.85055
2011-05-26,2796.00,2797.00,2757.00,2779.30005,260000,504.28145
2011-05-25,2825.00,2825.00,2762.00,2795.00,488500,492.61474
2011-05-24,2840.00,2862.00,2836.00,2845.052,260000,501.43633
2011-05-23,2846.00,2854.80005,2826.8999,2835.69995,290000,499.78805
2011-05-20,2846.00,2862.00,2833.30005,2850.552,364900,502.4057
2011-05-19,2850.00,2856.50,2836.19995,2846.35205,332700,501.66547
2011-05-18,2855.00,2883.00,2801.24805,2840.75195,751300,500.67846
2011-05-17,2848.00,2876.1001,2834.00,2843.948,252600,501.24175
2011-05-16,2877.3999,2877.3999,2840.64795,2849.75195,269300,502.26469
2011-05-13,2892.69995,2908.00,2871.3999,2880.052,289300,507.60503
2011-05-12,2895.00,2907.00,2875.1001,2882.3999,320200,508.01885
2011-05-11,2885.00,2919.8999,2881.948,2904.19995,250800,511.86107
2011-05-10,2909.00,2924.00,2875.1001,2880.3999,356700,507.66635
2011-05-09,2914.80005,2916.00,2871.052,2903.69995,263500,511.77295
2011-05-06,2867.3999,2903.69995,2848.50,2886.8999,359400,508.81197
2011-05-05,2867.00,2879.8999,2833.00,2843.1001,334800,501.09231
2011-05-04,2905.00,2905.00,2842.00,2867.50,704100,505.39276
2011-05-03,2922.8999,2952.948,2900.00,2910.75195,608600,513.01586
2011-05-02,2924.69995,2942.00,2913.24805,2923.35205,592400,515.2366
2011-04-29,2920.00,2929.00,2890.00,2905.948,569900,512.16917
2011-04-28,2952.8999,2958.00,2926.052,2931.552,411600,516.68183
2011-04-27,2950.00,2963.1001,2942.19995,2953.69995,740200,520.58538
2011-04-26,2939.8999,2950.00,2921.00,2938.448,1252900,517.89724
2011-04-25,2918.3999,2964.00,2909.00,2942.14795,1363200,518.54935
2011-04-21,2922.00,2938.052,2900.00,2909.24805,1503700,512.75079
2011-04-20,2920.00,2928.00,2892.00,2905.50,1609800,512.09021
2011-04-19,2918.00,2929.00,2880.00,2886.69995,2216600,508.77672
2011-04-18,2909.50,2968.052,2891.80005,2905.19995,3713800,512.03732
2011-04-15,3304.8999,3304.8999,2976.1001,2988.80005,8831100,526.77172
2011-04-13,3223.80005,3316.85205,3196.14795,3306.00,506400,582.67776
2011-04-11,3215.00,3262.00,3183.448,3239.50,236200,570.95723
2011-04-08,3245.00,3263.69995,3207.64795,3226.948,261300,568.74496
2011-04-07,3264.00,3264.00,3239.00,3247.448,244000,572.35805
2011-04-06,3278.00,3297.64795,3253.448,3270.6001,269800,576.43857
2011-04-05,3277.00,3290.00,3231.00,3279.50,241200,578.00717
2011-04-04,3227.052,3295.00,3227.052,3283.85205,283400,578.77421
2011-04-01,3225.00,3254.00,3208.00,3218.19995,267400,567.20312
2011-03-31,3180.00,3260.14795,3166.00,3236.75195,601000,570.47289
2011-03-30,3175.19995,3202.00,3156.00,3170.14795,243200,558.73403
2011-03-29,3135.00,3189.69995,3130.1001,3172.052,363300,559.06961
2011-03-28,3143.8999,3157.8999,3110.1001,3139.552,383600,553.34154
2011-03-25,3033.00,3182.00,3033.00,3162.00,878600,557.29796
2011-03-24,2998.85205,3014.00,2982.00,3004.8999,450600,529.6093
2011-03-23,2933.00,2999.00,2929.80005,2993.6001,361700,527.61772
2011-03-22,2936.00,2957.948,2926.50,2943.3999,435800,518.77001
2011-03-21,2955.00,2955.00,2904.1001,2922.14795,379400,515.02438
2011-03-18,2984.8999,2995.75195,2935.3999,2941.552,660300,518.44432
2011-03-17,2994.00,3002.00,2969.64795,2981.24805,600500,525.44069
2011-03-16,3029.948,3062.00,3024.00,3035.50,271900,535.00252
2011-03-15,3039.80005,3059.00,3008.00,3029.69995,450600,533.98027
2011-03-14,3050.00,3109.8999,3033.1001,3099.24805,335300,546.23802
2011-03-11,3066.00,3079.00,3046.3999,3054.448,678900,538.34208
2011-03-10,3094.00,3097.00,3062.69995,3087.448,169100,544.15828
2011-03-09,3121.24805,3134.00,3073.6001,3095.24805,385400,545.53303
2011-03-08,3034.80005,3129.00,3022.19995,3114.64795,450100,548.95223
2011-03-07,3042.00,3077.30005,3026.1001,3037.69995,277800,535.39026
